"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U0";"TSSOP-28_4.4x9.7mm_P0.65mm";1;"PCA9685PW";;;
2;"pi1";"PinSocket_2x20_P2.54mm_Vertical";1;"pi";;;
3;"R8,R5,R12,R11,R10,R9,R7,R6,R4,R3,R2,R1,R0";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";13;"R_US";;;
4;"J3,J0,J15,J14,J13,J12,J1,J2,J4,J5,J6,J7,J8,J9,J10,J11";"PinHeader_1x03_P2.54mm_Vertical";16;"Conn_01x03";;;
5;"D3,D2,D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"LED";;;
6;"J17";"BarrelJack_Horizontal";1;"Barrel_Jack";;;
7;"M3_bottom,M3_top";"MountingHole_3.2mm_M3";2;"MountingHole_3.2mm_M3";;;
8;"C1";"CP_Radial_D5.0mm_P2.50mm";1;"CAP";;;
9;"J20";"AMASS_XT60-M_1x02_P7.20mm_Vertical";1;"Conn_01x02";;;
10;"J16";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Male";;;
11;"J_POE0,J_POE2";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02_Female";;;
